structure_name,category,species,paper,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Dentate gyrus,gray_matter,Human,Yushkevich2009,1,HOMBA:10295,dentate gyrus,DG,dentate area (dentate gyrus),DG,HOMBA:AA30093,345,311,1.0,bm25+exact+fuzzy+hierarchy_parent,Dentate gyrus,Dentate gyrus,high_confidence,,1.0,common_parent_of_2_candidates,both
Subiculum,gray_matter,Human,Yushkevich2009,1,HOMBA:10302,subiculum proper (strictly defined subiculum),SB,subiculum,S,HOMBA:10293,297,297,1.0,bm25+exact+fuzzy+hierarchy_parent,Subiculum,Subiculum,high_confidence,,1.0,common_parent_of_3_candidates,both
Vestigial hippocampal sulcus,gray_matter,Human,Yushkevich2009,1,HOMBA:10560,hippocampal commissure,hic,hippocampal commissure,hic,HOMBA:AA30483,1595,1571,0.487623,bm25+fuzzy+hierarchy_parent,Vestigial hippocampal sulcus,hippocampal commissure,low_confidence,,1.0,common_parent_of_2_candidates,both
Anterior nucleus (thalamus),gray_matter,Human,Hwang2017,1,HOMBA:10410,rostral division of pulvinar,Pulr,anterior nucleus of pulvinar,Pulr,HOMBA:10409,729,729,0.923571,bm25+fuzzy,Anterior nucleus,anterior nucleus of pulvinar,high_confidence,thalamus,1.0,,both
Lateral geniculate nucleus,gray_matter,Human,Hwang2017,1,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),LG,lateral geniculate nucleus,LG,HOMBA:AA30295,766,766,1.0,bm25+exact+fuzzy,Lateral geniculate nucleus,Lateral geniculate nucleus,high_confidence,lateral,1.0,,both
Medial geniculate nucleus,gray_matter,Human,Hwang2017,1,HOMBA:10434,medial geniculate nucleus,MG,medial geniculate nuclei,MG,HOMBA:AA30307,789,789,1.0,bm25+exact+fuzzy,Medial geniculate nucleus,Medial geniculate nucleus,high_confidence,medial,1.0,,both
Ventral lateral thalamic nucleus,gray_matter,Human,Hwang2017,1,HOMBA:10420,ventral lateral nucleus of thalamus,VL,ventral lateral nucleus of thalamus,VL,HOMBA:AA30289,747,741,0.804396,bm25+fuzzy,Ventral lateral thalamic nucleus,ventral lateral nucleus of thalamus,needs_review,ventral;lateral,1.0,,both
Ventral anterior thalamic nucleus,gray_matter,Human,Hwang2017,1,HOMBA:AA30339,ventral anterior hypothalamic nucleus,VHN,,,HOMBA:10473,881,879,0.904221,bm25+fuzzy,Ventral anterior thalamic nucleus,ventral anterior hypothalamic nucleus,high_confidence,ventral,1.0,,both
Ventral posterior thalamic nucleus,gray_matter,Human,Hwang2017,1,HOMBA:10424,ventral posterior lateral nucleus,VPL,ventral posterior lateral nucleus,VPL,HOMBA:10423,756,756,0.843653,bm25+fuzzy,Ventral posterior thalamic nucleus,ventral posterior lateral nucleus,needs_review,ventral;posterior,1.0,,both
Intralaminar thalamic nuclei,gray_matter,Human,Hwang2017,1,HOMBA:AA30276,ventral midline nuclei of thalamus,MiV,,,HOMBA:13045,708,701,0.614232,hierarchy_parent,Intralaminar thalamic nuclei,ventral midline nuclei of thalamus,needs_review,,1.0,common_parent_of_2_candidates,both
Medial dorsal thalamic nucleus,gray_matter,Human,Hwang2017,1,HOMBA:10435,dorsal (rostral) division of medial geniculate nucleus,DMG,dorsal medial geniculate nucleus,DMG,HOMBA:10434,790,790,0.71886,bm25+fuzzy,medial dorsal thalamic nuclei,dorsal division of medial geniculate nuclei,needs_review,medial;dorsal,1.0,,both
Lateral posterior thalamic nucleus,gray_matter,Human,Hwang2017,1,HOMBA:10408,lateral posterior nucleus of thalamus,LP,lateral posterior nucleus of thalamus,LP,HOMBA:AA30282,725,725,0.817129,bm25+fuzzy,lateral posterior thalamic nuclei,lateral posterior nuclei of thalamus,needs_review,lateral;posterior,1.0,,both
Posterior thalamic nucleus,gray_matter,Human,Hwang2017,1,HOMBA:10503,posterior hypothalamic nucleus,PHN,posterior hypothalamic nucleus,PHN,HOMBA:10495,935,923,0.857117,bm25+fuzzy,Posterior thalamic nucleus,posterior hypothalamic nucleus,needs_review,posterior,1.0,,both
Medial pulvinar,gray_matter,Human,Hwang2017,1,HOMBA:10411,medial division of pulvinar,Pulm,medial nucleus of pulvinar,Pulm,HOMBA:10409,730,729,1.0,bm25+fuzzy,medial pulvinar of thalamus,medial division of pulvinar of thalamus,high_confidence,medial,1.0,,both
Inferior pulvinar,gray_matter,Human,Hwang2017,1,HOMBA:AA30282,lateroposterior-pulvinar complex,LPul,,,HOMBA:10407,724,721,0.7809,bm25+fuzzy+hierarchy_parent,Inferior pulvinar,lateroposterior-pulvinar complex,needs_review,,1.0,common_parent_of_2_candidates,both
Lateral pulvinar,gray_matter,Human,Hwang2017,1,HOMBA:10412,lateral division of pulvinar,Pull,lateral nucleus of pulvinar,Pull,HOMBA:10409,731,729,1.0,bm25+fuzzy,lateral pulvinar of thalamus,lateral division of pulvinar of thalamus,high_confidence,lateral,1.0,,both
Anterior pulvinar,gray_matter,Human,Hwang2017,1,HOMBA:AA30282,lateroposterior-pulvinar complex,LPul,,,HOMBA:10407,724,721,0.7809,bm25+fuzzy+hierarchy_parent,Anterior pulvinar,lateroposterior-pulvinar complex,needs_review,,1.0,common_parent_of_2_candidates,both
Ventral medial thalamic nucleus,gray_matter,Human,Hwang2017,1,HOMBA:10427,ventral medial nucleus of thalamus,VM,ventral medial nucleus of thalamus,VM,HOMBA:AA30289,754,741,0.803215,bm25+fuzzy,Ventral medial thalamic nucleus,ventral medial nucleus of thalamus,needs_review,ventral;medial,1.0,,both
Superior temporal gyrus,gray_matter,Human,Kiernan2012,1,HOMBA:12140,superior temporal gyrus,STG,superior temporal gyrus,STG,HOMBA:12139,1960,1960,1.0,bm25+exact+fuzzy,Superior temporal gyrus,Superior temporal gyrus,high_confidence,,1.0,,both
Middle temporal gyrus,gray_matter,Human,Kiernan2012,1,HOMBA:12141,middle temporal gyrus,MTG,middle temporal gyrus,MTG,HOMBA:12139,1961,1960,1.0,bm25+exact+fuzzy,Middle temporal gyrus,Middle temporal gyrus,high_confidence,,1.0,,both
Inferior temporal gyrus,gray_matter,Human,Kiernan2012,1,HOMBA:12142,inferior temporal gyrus,ITG,inferior temporal gyrus,ITG,HOMBA:12139,1962,1960,1.0,bm25+exact+fuzzy,Inferior temporal gyrus,Inferior temporal gyrus,high_confidence,,1.0,,both
Transverse temporal gyri (Heschl's gyri),gray_matter,Human,Kiernan2012,1,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),TTG,transverse temporal gyrus (Heschl's gyrus),TTG,HOMBA:12139,1964,1960,0.825032,bm25+fuzzy,Transverse temporal gyri (Heschl's gyri),transverse temporal gyrus (Heschl's gyrus),modifier_conflict,heschls;gyri;heschls gyri,0.333333,,both
Planum temporale,gray_matter,Human,Kiernan2012,1,HOMBA:12145,planum temporale,PLT,planum temporale,PLT,HOMBA:12139,1965,1960,1.0,bm25+exact+fuzzy,Planum temporale,Planum temporale,high_confidence,,1.0,,both
Temporal pole,gray_matter,Human,Kiernan2012,1,HOMBA:12146,temporal pole (temporopolar cortex),TP,temporal pole,TP,HOMBA:12139,1966,1960,1.0,bm25+exact+fuzzy,Temporal pole,Temporal pole,high_confidence,,1.0,,both
Insula,gray_matter,Human,Kiernan2012,1,HOMBA:12176,insular lobe,InL,insular lobe,InL,HOMBA:12112,2001,1911,1.0,bm25+exact+fuzzy+hierarchy_parent,Insula,Insula,high_confidence,,1.0,common_parent_of_2_candidates,both
Limen insulae,gray_matter,Human,Kiernan2012,1,HOMBA:12179,limen insula,LI,limen insula,LI,HOMBA:AA30560,2005,2005,0.773333,bm25+fuzzy,Limen insulae,limen insula,needs_review,,1.0,,both
Fusiform gyrus,gray_matter,Human,Kiernan2012,1,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,FuG,,,HOMBA:12139,1963,1960,1.0,bm25+exact+fuzzy,Fusiform gyrus,Fusiform gyrus,high_confidence,,1.0,,both
Parahippocampal gyrus,gray_matter,Human,Kiernan2012,1,HOMBA:12162,parahippocampal gyrus,PHG,parahippocampal gyrus,PHG,HOMBA:12139,1980,1960,1.0,bm25+exact+fuzzy+hierarchy_parent,Parahippocampal gyrus,Parahippocampal gyrus,high_confidence,,1.0,common_parent_of_3_candidates,both
Uncus,gray_matter,Human,Kiernan2012,1,HOMBA:12165,uncus of (para)hippocampal gyrus,UN,uncus of parahippocampal gyrus,UN,HOMBA:12139,1976,1960,0.223334,bm25,Uncus,uncus of  hippocampal gyrus,low_confidence,,1.0,,both
Hippocampus,gray_matter,Human,Kiernan2012,1,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,1.0,bm25+exact+fuzzy,Hippocampus,Hippocampus,high_confidence,,1.0,,both
Dentate gyrus,gray_matter,Human,Kiernan2012,1,HOMBA:10295,dentate gyrus,DG,dentate area (dentate gyrus),DG,HOMBA:AA30093,345,311,1.0,bm25+exact+fuzzy+hierarchy_parent,Dentate gyrus,Dentate gyrus,high_confidence,,1.0,common_parent_of_2_candidates,both
Subiculum,gray_matter,Human,Kiernan2012,1,HOMBA:10302,subiculum proper (strictly defined subiculum),SB,subiculum,S,HOMBA:10293,297,297,1.0,bm25+exact+fuzzy+hierarchy_parent,Subiculum,Subiculum,high_confidence,,1.0,common_parent_of_3_candidates,both
Entorhinal area,gray_matter,Human,Kiernan2012,1,HOMBA:10317,entorhinal cortex,ERC,entorhinal cortex,EC,HOMBA:10314,276,276,1.0,bm25+exact+fuzzy+hierarchy_parent,Entorhinal area,Entorhinal area,high_confidence,,1.0,common_parent_of_3_candidates,both
Amygdala,gray_matter,Human,Kiernan2012,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,Amygdala,Amygdala,high_confidence,,1.0,,both
Periamygdaloid cortex,gray_matter,Human,Kiernan2012,1,HOMBA:AA30225,periamygdaloid cortex,PAC,,,HOMBA:10373,581,579,1.0,bm25+exact+fuzzy+hierarchy_parent,Periamygdaloid cortex,Periamygdaloid cortex,high_confidence,,1.0,common_parent_of_3_candidates,both
Septal area,gray_matter,Human,Kiernan2012,1,HOMBA:10350,septal region (septal nuclear complex),SEP,septal nuclei,SEP,HOMBA:AA30214,548,537,1.0,bm25+exact+fuzzy+hierarchy_parent,Septal area,Septal area,high_confidence,,1.0,common_parent_of_2_candidates,both
Arcuate fasciculus,white_matter,Human,Kiernan2012,1,HOMBA:10569,arcuate fasciculus,af,arcuate fasciculus,af,HOMBA:AA30492,1695,1689,1.0,bm25+exact+fuzzy,Arcuate fasciculus,Arcuate fasciculus,high_confidence,,1.0,,both
Inferior longitudinal fasciculus,white_matter,Human,Kiernan2012,1,HOMBA:10580,inferior longitudinal fasciculus,ilf,inferior longitudinal fasciculus,ilf,HOMBA:AA30492,1727,1689,1.0,bm25+exact+fuzzy,Inferior longitudinal fasciculus,Inferior longitudinal fasciculus,high_confidence,,1.0,,both
Uncinate fasciculus,white_matter,Human,Kiernan2012,1,HOMBA:10594,uncinate fasciculus,unf,uncinate fasciculus,unf,HOMBA:AA30492,1811,1689,1.0,bm25+exact+fuzzy,Uncinate fasciculus,Uncinate fasciculus,high_confidence,,1.0,,both
Meyer's loop (geniculocalcarine tract),white_matter,Human,Kiernan2012,1,HOMBA:266441617,Meyer's loop of optic radiation,orlp,Meyer's loop of optic radiation,or-lp,HOMBA:12053,1637,1636,0.537451,bm25+fuzzy,Meyer's loop (geniculocalcarine tract),Meyer's loop of optic radiation,low_confidence,geniculocalcarine;tract;geniculocalcarine tract,0.0,,both
Fimbria,white_matter,Human,Kiernan2012,1,HOMBA:10575,fimbria,fim,fimbria,fim,HOMBA:AA30489,1618,1607,1.0,bm25+exact+fuzzy,Fimbria,Fimbria,high_confidence,,1.0,,both
Alveus,white_matter,Human,Kiernan2012,1,HOMBA:10570,alveus,alv,alveus,alv,HOMBA:AA30489,1609,1607,1.0,bm25+exact+fuzzy,Alveus,Alveus,high_confidence,,1.0,,both
Fornix,white_matter,Human,Kiernan2012,1,HOMBA:10576,fornix,fx,fornix,fx,HOMBA:AA30489,1619,1607,1.0,bm25+exact+fuzzy+hierarchy_parent,Fornix,Fornix,high_confidence,,1.0,common_parent_of_4_candidates,both
Temporal horn of the lateral ventricle,ventricle,Human,Kiernan2012,1,HOMBA:10597,rostral horn of lateral ventricles,LVr,anterior horn of lateral ventricle,aLV,HOMBA:AA30473,1519,1519,0.830903,bm25+fuzzy,Temporal horn of the lateral ventricle,anterior horn of lateral ventricle,needs_review,lateral,1.0,,both
Claustrum,gray_matter,Macaque,Hartig2020,1,HOMBA:10346,claustrum,Cla,claustrum,Cla,HOMBA:AA30263,669,669,1.0,bm25+exact+fuzzy+hierarchy_parent,Claustrum,Claustrum,high_confidence,,1.0,common_parent_of_4_candidates,both
Piriform cortex,gray_matter,Macaque,Hartig2020,1,HOMBA:10311,piriform cortex,Pir,piriform cortex,Pir,HOMBA:10327,355,355,1.0,bm25+exact+fuzzy,Piriform cortex,Piriform cortex,high_confidence,,1.0,,both
Dorsal endopiriform claustrum,gray_matter,Macaque,Hartig2020,1,HOMBA:10347,dorsal claustrum,CLd,Dorsal claustrum,CLd,HOMBA:10346,670,670,0.810419,bm25+fuzzy,Dorsal endopiriform claustrum,dorsal claustrum,needs_review,dorsal,1.0,,both
Ventral endopiriform claustrum,gray_matter,Macaque,Hartig2020,1,HOMBA:10348,ventral claustrum,CLv,ventral claustrum,CLv,HOMBA:10346,671,670,0.814019,bm25+fuzzy,Ventral endopiriform claustrum,ventral claustrum,needs_review,ventral,1.0,,both
Endopiriform nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10371,endopiriform nucleus,En,endopiriform nucleus,En,HOMBA:AA30263,674,669,1.0,bm25+exact+fuzzy+hierarchy_parent,Endopiriform nucleus,Endopiriform nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Hippocampus,gray_matter,Macaque,Hartig2020,1,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,1.0,bm25+exact+fuzzy,Hippocampus,Hippocampus,high_confidence,,1.0,,both
Subicular complex,gray_matter,Macaque,Hartig2020,1,HOMBA:266441673,subicular complex,Subx,subicular complex,Subx,HOMBA:12139,1975,1960,1.0,bm25+exact+fuzzy,Subicular complex,Subicular complex,high_confidence,,1.0,,both
Fimbria,white_matter,Macaque,Hartig2020,1,HOMBA:10575,fimbria,fim,fimbria,fim,HOMBA:AA30489,1618,1607,1.0,bm25+exact+fuzzy,Fimbria,Fimbria,high_confidence,,1.0,,both
Fornix,white_matter,Macaque,Hartig2020,1,HOMBA:10576,fornix,fx,fornix,fx,HOMBA:AA30489,1619,1607,1.0,bm25+exact+fuzzy+hierarchy_parent,Fornix,Fornix,high_confidence,,1.0,common_parent_of_4_candidates,both
Anterior amygdaloid area,gray_matter,Macaque,Hartig2020,1,HOMBA:10362,anterior amygdaloid area,AAA,anterior amygdaloid area,AAA,HOMBA:AA30223,570,570,1.0,bm25+exact+fuzzy+hierarchy_parent,Anterior amygdaloid area,Anterior amygdaloid area,high_confidence,,1.0,common_parent_of_2_candidates,both
Amygdalohippocampal area,gray_matter,Macaque,Hartig2020,1,HOMBA:10377,amygdalohippocampal area,AHA,amygdalohippocampal area,AHA,HOMBA:AA30222,596,569,1.0,bm25+exact+fuzzy+hierarchy_parent,Amygdalohippocampal area,Amygdalohippocampal area,high_confidence,,1.0,common_parent_of_2_candidates,both
Amygdalopiriform transition area,gray_matter,Macaque,Hartig2020,1,HOMBA:10382,amygdalocortical transition area (amygdalopiriform transition area),ACTA,amygdalocortical (corticoamygdaloid) transition area,ACTA,HOMBA:10379,638,635,1.0,bm25+exact+fuzzy,Amygdalopiriform transition area,Amygdalopiriform transition area,high_confidence,,1.0,,both
Amygdalostriatal transition area,gray_matter,Macaque,Hartig2020,1,HOMBA:10381,amygdalostriatal transition area,AStr,amygdalostriatal transition area,ASTA,HOMBA:11538,481,478,1.0,bm25+exact+fuzzy,Amygdalostriatal transition area,Amygdalostriatal transition area,high_confidence,,1.0,,both
Basolateral amygdaloid nucleus (dorsal),gray_matter,Macaque,Hartig2020,1,HOMBA:11516,magnocellular (dorsal) division of BL,BLmc,dorsal (magnocellular) division of basolateral nucleus,BLD,HOMBA:10368,611,610,0.785842,bm25+fuzzy,basolateral amygdaloid nuclei dorsal,dorsal division of basolateral nuclei,needs_review,dorsal,1.0,,both
Basolateral amygdaloid nucleus (intermediate),gray_matter,Macaque,Hartig2020,1,HOMBA:11518,intermediate division of BL,BLi,intermediate division of basolateral nucleus,BLI,HOMBA:10368,615,610,0.795203,bm25+fuzzy,basolateral amygdaloid nuclei intermediate,intermediate division of basolateral nuclei,needs_review,intermediate,1.0,,both
Basolateral amygdaloid nucleus (ventral),gray_matter,Macaque,Hartig2020,1,HOMBA:11519,parvicellular (ventral) division of BL,BLpc,ventral (parvicellular) division of basolateral nucleus,BLV,HOMBA:10368,616,610,0.785094,bm25+fuzzy,basolateral amygdaloid nuclei ventral,ventral division of basolateral nuclei,needs_review,ventral,1.0,,both
Basomedial amygdaloid nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10372,corticomedial nuclear group of amygdala,CMN,corticomedial nuclear group,CMN,HOMBA:AA30222,577,569,0.7809,bm25+fuzzy+hierarchy_parent,Basomedial amygdaloid nucleus,corticomedial nuclear group of amygdala,needs_review,,1.0,common_parent_of_2_candidates,both
Basal nucleus (of Meynert),gray_matter,Macaque,Hartig2020,1,HOMBA:10353,basal nucleus of Meynert,BNM,basal nucleus of Meynert,BNM,HOMBA:AA30214,537,537,1.0,bm25+exact+fuzzy,Basal nucleus (of Meynert),Basal nucleus (of Meynert),high_confidence,meynert,1.0,,both
Peri-basal region,gray_matter,Macaque,Hartig2020,1,HOMBA:10349,basal forebrain,BF,basal forebrain,BF,HOMBA:10331,535,451,0.568257,bm25+hierarchy_parent,Peri-basal region,basal forebrain,low_confidence,,1.0,common_parent_of_2_candidates,both
Central amygdaloid nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10372,corticomedial nuclear group of amygdala,CMN,corticomedial nuclear group,CMN,HOMBA:AA30222,577,569,0.76283,hierarchy_parent,Central amygdaloid nucleus,corticomedial nuclear group of amygdala,needs_review,,1.0,common_parent_of_2_candidates,both
Extended amygdala,gray_matter,Macaque,Hartig2020,1,HOMBA:10383,extended amygdala,EXA,extended amygdala,EXA,HOMBA:10331,643,451,1.0,bm25+exact+fuzzy+hierarchy_parent,Extended amygdala,Extended amygdala,high_confidence,,1.0,common_parent_of_2_candidates,both
Posterior interstitial nucleus of the anterior commissure,gray_matter,Macaque,Hartig2020,1,HOMBA:12194,interstitial nucleus of posterior commissure (nucleus of posterior commissure),INPC,interstitial nucleus of posterior commissure,INPC,HOMBA:12239,1084,1073,0.956666,bm25+fuzzy,Posterior interstitial nucleus of the anterior commissure,interstitial nucleus of posterior commissure,high_confidence,posterior,1.0,,both
Lateral amygdaloid nucleus (dorsal),gray_matter,Macaque,Hartig2020,1,HOMBA:10367,lateral nucleus of amygdala,La,lateral nucleus,La,HOMBA:10366,600,600,0.754779,bm25+fuzzy,Lateral amygdaloid nucleus,lateral nucleus of amygdaloid complex,modifier_conflict,dorsal;lateral,0.5,,both
Lateral amygdaloid nucleus (ventral),gray_matter,Macaque,Hartig2020,1,HOMBA:10367,lateral nucleus of amygdala,La,lateral nucleus,La,HOMBA:10366,600,600,0.754779,bm25+fuzzy,Lateral amygdaloid nucleus,lateral nucleus of amygdaloid complex,modifier_conflict,ventral;lateral,0.5,,both
Medial amygdaloid nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10376,medial nuclear complex of amygdala,Me,medial nucleus,Me,HOMBA:10372,586,578,1.0,bm25+exact+fuzzy,Medial amygdaloid nucleus,Medial amygdaloid nucleus,high_confidence,medial,1.0,,both
Paralaminar amygdaloid nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10370,paralaminar nucleus of amygdala,PL,paralaminar nucleus,PL,HOMBA:10368,619,610,0.752254,bm25+fuzzy,Paralaminar amygdaloid nucleus,paralaminar nucleus of amygdaloid complex,needs_review,,1.0,,both
Intra-amygdaloid division of the bed nucleus of the stria terminalis,gray_matter,Macaque,Hartig2020,1,HOMBA:10384,bed nucleus of stria terminalis,BST,bed nucleus of stria terminalis,BNST,HOMBA:AA30243,645,645,0.699768,bm25+fuzzy,intra amygdaloid division of the bed nuclei of the stria terminalis,bed nuclei of stria terminalis,needs_review,,1.0,,both
Ventral cortical amygdaloid nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10373,cortical nucleus of amygdala,Co,cortical amygdaloid nuclei,Co,HOMBA:10372,578,578,0.7722,bm25+fuzzy,Ventral cortical amygdaloid nucleus,cortical amygdaloid nucleus,needs_review,ventral,0.0,,both
Head of caudate nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10335,head of caudate nucleus,CaH,head of caudate,CaH,HOMBA:10334,457,457,1.0,bm25+exact+fuzzy,Head of caudate nucleus,Head of caudate nucleus,high_confidence,,1.0,,both
Tail of caudate nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10337,tail of caudate nucleus (caudolateral division of the CP),CaT,tail of caudate,CaT,HOMBA:10334,463,457,1.0,bm25+exact+fuzzy,Tail of caudate nucleus,Tail of caudate nucleus,high_confidence,,1.0,,both
Caudate nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),Ca,caudate nucleus,Ca,HOMBA:AA30192,456,456,1.0,bm25+exact+fuzzy+hierarchy_parent,Caudate nucleus,Caudate nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Putamen,gray_matter,Macaque,Hartig2020,1,HOMBA:10338,putamen (lateroventral division of the CP),Pu,putamen,Pu,HOMBA:AA30192,467,456,1.0,bm25+exact+fuzzy+hierarchy_parent,Putamen,Putamen,high_confidence,,1.0,common_parent_of_4_candidates,both
Accumbens nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10339,nucleus accumbens,NAC,nucleus accumbens,NAC,HOMBA:AA30195,485,485,0.848686,bm25+fuzzy+hierarchy_parent,accumbens nuclei,nuclei accumbens,needs_review,,1.0,common_parent_of_2_candidates,both
Olfactory tubercle,gray_matter,Macaque,Hartig2020,1,HOMBA:10310,olfactory tubercle,OT,olfactory tubercle,OT,HOMBA:AA30195,498,485,1.0,bm25+exact+fuzzy+hierarchy_parent,Olfactory tubercle,Olfactory tubercle,high_confidence,,1.0,common_parent_of_2_candidates,both
External globus pallidus,gray_matter,Macaque,Hartig2020,1,HOMBA:10343,external division of globus pallidus,GPe,external segment of globus pallidus,GPe,HOMBA:10342,513,513,0.978625,bm25+fuzzy,External globus pallidus,external division of globus pallidus,high_confidence,external,1.0,,both
Internal globus pallidus,gray_matter,Macaque,Hartig2020,1,HOMBA:10342,globus pallidus (paleostriatum),GP,globus pallidus,GP,HOMBA:AA30190,512,453,0.938625,bm25+fuzzy+hierarchy_parent,Internal globus pallidus,globus pallidus (paleostriatum),high_confidence,,1.0,common_parent_of_3_candidates,both
Ventral pallidum,gray_matter,Macaque,Hartig2020,1,HOMBA:10345,ventral pallidum,VeP,Ventral pallidus,VeP,HOMBA:10343,516,514,1.0,bm25+exact+fuzzy,Ventral pallidum,Ventral pallidum,high_confidence,ventral,1.0,,both
Bed nucleus of the stria terminalis,gray_matter,Macaque,Hartig2020,1,HOMBA:10384,bed nucleus of stria terminalis,BST,bed nucleus of stria terminalis,BNST,HOMBA:AA30243,645,645,0.947234,bm25+fuzzy,Bed nucleus of the stria terminalis,bed nucleus of stria terminalis,high_confidence,,1.0,,both
Septum and diagonal band,gray_matter,Macaque,Hartig2020,1,HOMBA:12034,diagonal band,dib,diagonal band,dib,HOMBA:AA30489,1614,1607,0.854167,bm25+fuzzy,septum and diagonal band of broca,diagonal band of broca,needs_review,,1.0,,both
Septimbrial nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:13032,septofimbrial nucleus,SFi,septofimbrial nucleus,SFi,HOMBA:AA30218,560,560,0.672904,fuzzy,Septimbrial nucleus,septofimbrial nucleus,needs_review,,1.0,,both
Preoptic area,gray_matter,Macaque,Hartig2020,1,HOMBA:10468,preoptic region of HTH,HTHpo,preoptic region of HTH,HTHpo,HOMBA:AA30338,867,867,0.815,bm25+fuzzy+hierarchy_parent,preoptic region,preoptic region of HTH,needs_review,,1.0,common_parent_of_5_candidates,both
Lamina terminalis and vascular organ,gray_matter,Macaque,Hartig2020,1,HOMBA:12105,lamina terminalis,LaT,lamina terminalis,LaT,HOMBA:AA30560,2016,2005,0.328577,bm25,Lamina terminalis and vascular organ,lamina terminalis,low_confidence,,1.0,,both
Anterior hypothalamic nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10475,anterior hypothalamic nucleus,AHN,anterior hypothalamic nucleus,AHN,HOMBA:10473,880,879,1.0,bm25+exact+fuzzy,Anterior hypothalamic nucleus,Anterior hypothalamic nucleus,high_confidence,,1.0,,both
Ventromedial hypothalamic nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10488,ventromedial hypothalamic nucleus,VMH,ventromedial hypothalamic nucleus,VMH,HOMBA:10483,905,900,1.0,bm25+exact+fuzzy+hierarchy_parent,Ventromedial hypothalamic nucleus,Ventromedial hypothalamic nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Arcuate nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:12536,arcuate nucleus of medulla oblongata,ArMo,arcuate nucleus of medulla oblongata,Ar,HOMBA:12535,1320,1320,0.786859,bm25+fuzzy,Arcuate nucleus,arcuate nucleus of medulla,needs_review,,1.0,,both
Lateral hypothalamic area,gray_matter,Macaque,Hartig2020,1,HOMBA:10494,"lateral hypothalamic area, tuberal part",LHtu,"lateral hypothalamic area, tuberal part",LHAtub,HOMBA:10483,913,900,0.967588,bm25+fuzzy,Lateral hypothalamic area,"lateral hypothalamic area, tuberal part",high_confidence,lateral,1.0,,both
Peduncular lateral hypothalamic nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:13070,magnocellular nucleus of lateral hypothalamic area,LHmc,magnocellular nucleus of lateral hypothalamic area,LHmc,HOMBA:10494,914,914,0.760122,bm25+fuzzy,peduncular lateral hypothalamic nuclei,magnocellular nuclei of lateral hypothalamic area,needs_review,lateral,1.0,,both
Juxtaparaventricular nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10457,paraventricular nucleus of thalamus,PVT,paraventricular nucleus,PaV,HOMBA:AA30274,702,702,0.773333,fuzzy+hierarchy_parent,Juxtaparaventricular nucleus,paraventricular nucleus,needs_review,,1.0,common_parent_of_3_candidates,both
Paraventricular hypothalamic nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10457,paraventricular nucleus of thalamus,PVT,paraventricular nucleus,PaV,HOMBA:AA30274,702,702,0.717674,bm25+fuzzy+hierarchy_parent,Paraventricular hypothalamic nucleus,paraventricular nucleus,needs_review,,1.0,common_parent_of_3_candidates,both
Posterior hypothalamic nucleus,gray_matter,Macaque,Hartig2020,1,HOMBA:10503,posterior hypothalamic nucleus,PHN,posterior hypothalamic nucleus,PHN,HOMBA:10495,935,923,1.0,bm25+exact+fuzzy,Posterior hypothalamic nucleus,Posterior hypothalamic nucleus,high_confidence,posterior,1.0,,both
